Name of Company,Name of Management,Relationship to Management,Types of Securities,Transaction Date,Amount,Average Price (baht),The methods of Acquisition/Disposition
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Common Share,18/03/2021,550000,15.30,Purchase
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Common Share,09/06/2021,90,14.00,Purchase
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Common Share,09/06/2021,600,14.10,Purchase
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Common Share,06/07/2021,10000000,12.10,Sale
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Warrant,09/07/2021,9804500,3.00,Sale
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Warrant,09/07/2021,2004282,3.00,Sale
SSP,Miss THANTAPORN KRAIPISITKUL,Reporter,Warrant,30/08/2021,2937163,2.40,Purchase
SSP,Mr. ASDSATHAI RATTANADILOK NA PHUKET,Reporter,Common Share,28/11/2018,100,7.65,Sale
SSP,Mr. KAMTHON WANGUDOM,Reporter,Common Share,25/07/2019,100000,8.70,Sale
SSP,Mr. KAMTHON WANGUDOM,Reporter,Common Share,25/07/2019,100000,8.65,Sale
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,19/12/2019,94600,7.30,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,19/12/2019,50000,7.35,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,20/12/2019,190000,7.35,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Spouse / Cohabiting Couple (Miss LANLALIT MAITREEVITHYANONT),Common Share,25/12/2019,4000,7.30,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Spouse / Cohabiting Couple (Miss LANLALIT MAITREEVITHYANONT),Common Share,25/12/2019,2000,7.25,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,27/12/2019,50200,7.30,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,27/12/2019,98400,7.35,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,11/03/2020,762500,6.70,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,11/03/2020,600000,6.75,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,12/03/2020,90800,6.30,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,12/03/2020,146000,6.35,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,12/03/2020,70000,6.40,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,6000,5.80,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,13200,5.90,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,52000,6.00,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,157800,6.05,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,189000,6.10,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,365000,6.15,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,19300,6.30,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,121000,6.35,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,13/03/2020,75000,6.40,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,17/03/2020,85500,6.00,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,17/03/2020,138000,6.05,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,17/03/2020,49000,6.10,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,18/03/2020,10000,6.00,Purchase
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,29/03/2021,13800000,14.00,Sale
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Common Share,06/07/2021,13930000,12.10,Sale
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Warrant,09/07/2021,4914470,3.00,Sale
SSP,Mr. TANAWAT KRAIPISITKUL,Reporter,Warrant,09/07/2021,1383497,3.00,Sale
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,14/09/2020,20000,7.20,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,15/09/2020,5000,7.25,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,24/09/2020,5700,7.10,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,24/09/2020,8000,7.15,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,24/09/2020,6300,7.20,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,28/09/2020,16900,7.00,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,28/09/2020,3100,7.05,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,02/10/2020,2800,7.10,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,02/10/2020,7200,7.05,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,09/03/2021,200000,14.60,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,09/03/2021,150000,14.70,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,09/03/2021,350000,14.64,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,10/03/2021,40100,15.30,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,10/03/2021,50000,15.40,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,10/03/2021,90100,15.36,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,18/03/2021,50000,14.80,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,18/03/2021,100000,14.90,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,18/03/2021,50000,15.00,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,18/03/2021,50000,15.10,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,18/03/2021,150000,15.20,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,18/03/2021,250000,15.30,Purchase
SSP,Mr. VARUT TUMMAVARANUKUB,Reporter,Common Share,19/03/2021,100000,15.20,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,17/01/2019,289600,7.47,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,18/01/2019,10000,7.50,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,21/01/2019,26100,7.43,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,22/01/2019,64900,7.43,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,23/01/2019,2500,7.48,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,24/01/2019,23000,7.55,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,25/01/2019,43700,7.68,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,01/03/2019,20000,7.50,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,04/03/2019,2900,7.48,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,05/03/2019,20000,7.40,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,05/03/2019,20000,7.40,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,06/03/2019,8200,7.41,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,07/03/2019,9500,7.58,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,19/03/2019,22700,7.60,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,19/03/2019,3000,7.70,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,22/03/2019,5000,7.60,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,24/05/2019,82200,7.52,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,02/01/2020,1200,7.30,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,02/01/2020,6800,7.35,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,02/01/2020,6000,7.40,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,03/01/2020,42800,7.30,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,03/01/2020,25000,7.35,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,06/01/2020,20000,7.20,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,06/01/2020,130000,7.25,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,06/01/2020,19000,7.30,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,07/01/2020,70000,7.20,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,07/01/2020,60000,7.25,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,08/01/2020,11500,7.15,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,08/01/2020,48000,7.20,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,09/01/2020,25000,7.25,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,09/01/2020,10000,7.30,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,10/01/2020,10000,7.25,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,10/01/2020,51000,7.30,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,10/01/2020,32300,7.35,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,10/01/2020,42500,7.40,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,10/01/2020,83400,7.45,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,10/01/2020,10000,7.50,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,14/01/2020,20000,7.40,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,15/01/2020,10000,7.40,Purchase
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Common Share,29/03/2021,19000000,14.00,Sale
SSP,Mr. VIWAT KRAIPISITKUL,Reporter,Warrant,09/07/2021,13794605,3.00,Sale
SSP,JETTAYA PUAWARANUKROH,Reporter,Common share,05/04/2018,5000,7.00,Buy
SSP,JETTAYA PUAWARANUKROH,Reporter,Common share,15/05/2018,5000,8.00,Sell
SSP,JETTAYA PUAWARANUKROH,Reporter,Common share,19/05/2018,10000,8.15,Sell
SSP,JETTAYA PUAWARANUKROH,Reporter,Common share,25/05/2018,2000,8.40,Sell
SSP,TANAWAT KRAIPISITKUL,Reporter,Common share,12/01/2018,20000,7.50,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,11/01/2018,100000,7.35,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,11/01/2018,200000,7.40,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,09/03/2018,608300,7.43,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,29/03/2018,100000,7.48,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,04/04/2018,907700,7.18,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,05/04/2018,85000,7.00,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,03/07/2018,140000,8.20,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,04/07/2018,186000,8.28,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,05/07/2018,200000,8.24,Buy
SSP,THANTAPORN KRAIPISITKUL,Reporter,Common share,06/07/2018,180000,8.14,Buy
SSP,VARUT TUMMAVARANUKUB,Reporter,Common share,04/04/2018,25000,7.26,Buy
SSP,VIWAT KRAIPISITKUL,Reporter,Common share,11/01/2018,200000,7.45,Buy
SSP,VIWAT KRAIPISITKUL,Reporter,Common share,16/01/2018,60000,7.80,Buy
SSP,VIWAT KRAIPISITKUL,Reporter,Common share,05/04/2018,101300,6.97,Buy
SSP,VIWAT KRAIPISITKUL,Reporter,Common share,09/08/2018,100000,7.50,Buy
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Common Share,22/03/2021,4300000,0.75,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Common Share,22/03/2021,500000,0.75,Sale
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Common Share,24/03/2021,3000000,0.86,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Common Share,24/03/2021,3000000,0.87,Sale
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Prefered Share,12/04/2021,850000,0.33,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Prefered Share,25/06/2021,125800,0.56,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Prefered Share,28/06/2021,200000,0.55,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Prefered Share,06/07/2021,374200,0.69,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Common Share,04/08/2021,4650000,1.83,Sale
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Prefered Share,04/08/2021,700000,0.77,Sale
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Common Share,06/08/2021,1950000,1.48,Purchase
7UP,Mr. RATCHATA POOMPANMOUNG,Reporter,Prefered Share,06/08/2021,1000000,0.61,Purchase
SGF,Mr. KANNANAT BOONSUNANONDHA,Reporter,Common Share,27/08/2018,860000,1.45,Sale
SGF,Mr. KRERKKIAT KUKIATTINUN,Spouse / Cohabiting Couple (-),Common Share,24/10/2018,250000,1.40,Purchase
SGF,Mr. VIVAT VITHOONTIEN,Reporter,Common Share,20/08/2018,300000,1.38,Purchase
SGF,Mrs. ROSSUKHON YAMKASIKORN,Reporter,Common Share,30/08/2018,10000,1.52,Sale
SGF,VIVAT VITHOONTIEN,Reporter,Common share,02/04/2018,230000000,0.18,Sell
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,01/07/2019,50000,5.50,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,05/03/2020,20000,4.14,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,17/08/2020,30000,4.02,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,18/08/2020,30000,4.08,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,08/12/2020,4000,4.72,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,08/12/2020,6000,4.70,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,21/01/2021,5000,5.40,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,26/01/2021,5000,5.60,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Prefered Share,26/03/2021,60500,5.94,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,29/03/2021,10000,6.00,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,09/04/2021,79500,6.42,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,22/06/2021,50000,6.32,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,23/06/2021,8400,6.45,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,23/06/2021,5200,6.45,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,05/08/2021,20000,6.20,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,06/08/2021,34800,6.21,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,10/08/2021,50000,6.35,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,11/08/2021,40000,6.36,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,13/08/2021,110000,6.70,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,16/08/2021,60000,6.75,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,17/08/2021,110000,7.23,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,18/08/2021,20000,7.30,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,19/08/2021,50000,7.30,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,27/08/2021,60000,7.85,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,30/08/2021,70000,8.23,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,31/08/2021,20000,8.20,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,15/09/2021,100000,9.03,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,16/09/2021,90000,9.36,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,17/09/2021,10000,9.70,Sale
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,07/10/2021,100000,8.22,Purchase
SWC,Mr. NARIN TRISUKOSOL,Reporter,Common Share,17/11/2021,50000,9.10,Sale
SWC,Mr. NARONGRIT TANGKARAWAKUN,Spouse / Cohabiting Couple (Bussaba),Common Share,22/08/2018,1400,21.64,Sale
SWC,Mr. NARONGRIT TANGKARAWAKUN,Reporter,Common Share,27/08/2018,2000,19.50,Purchase
SWC,Mr. NARONGRIT TANGKARAWAKUN,Reporter,Common Share,29/08/2018,3500,18.40,Sale
SWC,Mr. NARONGRIT TANGKARAWAKUN,Reporter,Common Share,10/09/2018,1000,20.60,Sale
SWC,Mr. NARONGRIT TANGKARAWAKUN,Reporter,Common Share,12/09/2018,1000,21.70,Sale
SWC,Mr. NARONGRIT TANGKARAWAKUN,Reporter,Common Share,13/09/2018,1500,22.10,Sale
SWC,Mr. NARONGRIT TANGKARAWAKUN,Reporter,Common Share,25/09/2018,1200,26.75,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Warrant,21/05/2019,300000,3.82,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Warrant,21/05/2019,300000,4.00,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,21/05/2019,400000,5.58,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,22/05/2019,110000,5.43,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,23/05/2019,90000,5.46,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,23/05/2019,90000,5.43,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,24/05/2019,131400,5.30,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,27/05/2019,165600,5.30,Sale
SWC,Mr. SIRINAT CHAYANAN,Reporter,Common Share,28/05/2019,213000,5.29,Sale
SWC,NARONGRIT TANGKARAWAKUN,Reporter,Common share,14/05/2018,1000,22.80,Buy
SFT,Miss CHOMPOONOOT SAENGDARA,Reporter,Common Share,27/11/2020,10000,4.56,Sale
SFT,Miss CHOMPOONOOT SAENGDARA,Reporter,Common Share,01/12/2020,10000,4.88,Purchase
SFT,Miss CHOMPOONOOT SAENGDARA,Reporter,Common Share,02/12/2020,6000,4.96,Sale
SFT,Miss CHOMPOONOOT SAENGDARA,Reporter,Common Share,17/03/2021,15000,5.70,Sale
SFT,Mr. KITSANA VACHEKRILAS,Reporter,Common Share,18/11/2020,300000,4.21,Sale
SFT,Mr. KITSANA VACHEKRILAS,Reporter,Common Share,01/12/2020,100000,4.60,Sale
SFT,Mr. KITSANA VACHEKRILAS,Reporter,Common Share,09/12/2020,100000,4.85,Sale
SFT,Mr. KITSANA VACHEKRILAS,Reporter,Common Share,16/12/2020,150000,4.99,Sale
SFT,Mr. SANEE HUMSIN,Reporter,Common Share,05/03/2021,30000,5.25,Sale
SFT,Mr. SANEE HUMSIN,Reporter,Common Share,15/09/2021,20000,8.40,Purchase
SFT,Mr. SUCHIN SIRIPRAPANUKUL,Reporter,Common Share,25/12/2020,80000,4.60,Sale
SFT,Mr. SUCHIN SIRIPRAPANUKUL,Reporter,Common Share,19/01/2021,50000,4.52,Sale
SFT,Mr. Sung cheong Tsoi,Reporter,Common Share,26/11/2020,8000000,4.40,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,02/03/2021,90000,4.90,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,05/03/2021,40000,5.20,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,08/03/2021,37000,5.30,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,08/03/2021,37000,5.40,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,02/04/2021,53000,5.61,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,11/08/2021,53000,7.45,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,11/08/2021,53000,7.45,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,11/08/2021,53000,7.25,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,11/08/2021,53000,7.25,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,11/08/2021,1500,7.26,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,11/08/2021,1500,7.20,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,18/08/2021,54500,7.45,Sale
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,22/09/2021,36800,7.51,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,29/11/2021,53000,6.60,Purchase
SFT,Mr. SUPPHADECH THANAKORNTITIKUN,Reporter,Common Share,30/11/2021,200,6.60,Purchase
SFT,Mr. SUTEE SATANASATHAPORN,Reporter,Common Share,09/12/2020,220000,4.74,Sale
SFT,Mrs. ROSSUKHON SANTIGULWONG,Reporter,Common Share,19/11/2020,70000,4.54,Sale
SFT,Mrs. ROSSUKHON SANTIGULWONG,Reporter,Common Share,21/12/2020,20000,4.74,Purchase
SFT,Mrs. ROSSUKHON SANTIGULWONG,Reporter,Common Share,05/01/2021,15000,4.42,Purchase
SFT,Mrs. ROSSUKHON SANTIGULWONG,Reporter,Common Share,17/03/2021,20000,4.60,Sale
SFT,Mrs. ROSSUKHON SANTIGULWONG,Reporter,Common Share,17/03/2021,20000,5.60,Sale
SFT,Mrs. ROSSUKHON SANTIGULWONG,Reporter,Common Share,22/03/2021,20000,6.00,Sale
STHAI,Mr. EKKACHAI TANGSATJATHAM,Reporter,Common Share,15/02/2021,1200,2.00,Purchase
STHAI,Mr. EKKACHAI TANGSATJATHAM,Reporter,Common Share,16/02/2021,5600,2.00,Purchase
STHAI,Mr. EKKACHAI TANGSATJATHAM,Reporter,Common Share,17/02/2021,2900,2.00,Purchase
STHAI,Mr. EKKACHAI TANGSATJATHAM,Reporter,Common Share,18/02/2021,200,2.00,Purchase
STHAI,Mr. SIRASIT PASAWAT,Reporter,Common Share,23/07/2019,10000000,0.01,Purchase
STHAI,Mr. SIRASIT PASAWAT,Reporter,Common Share,31/07/2019,10000000,0.01,Purchase
SF,Mr. NOPPORN WITOONCHART,Reporter,Common Share,30/08/2021,11373348,12.00,Sale
SF,Mr. NOPPORN WITOONCHART,Reporter,Common Share,30/08/2021,99455725,12.00,Sale
SF,Mr. NOPPORN WITOONCHART,Spouse / Cohabiting Couple (Mrs. PORNPATR WITOONCHART),Common Share,30/08/2021,506700,12.00,Sale
SF,Mr. NOPPORN WITOONCHART,Reporter,Common Share,11/10/2021,21000000,11.97,Sale
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,10/03/2020,4000000,4.90,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,13/03/2020,4200000,3.90,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,23/03/2020,4000000,3.60,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,13/04/2020,200000,4.20,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,16/04/2020,3600000,4.14,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,18/05/2020,4800000,4.08,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,02/03/2021,5000000,4.00,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Spouse / Cohabiting Couple (Mrs. SAVINEE JANTARAPRAPA),Common Share,06/08/2021,23970663,2.32,Purchase
SF,Mr. ORANOP JANTARAPRAPA,Reporter,Common Share,30/08/2021,29476978,12.00,Sale
SF,Mr. ORANOP JANTARAPRAPA,Spouse / Cohabiting Couple (Mrs. SAVINEE JANTARAPRAPA),Common Share,30/08/2021,26431036,12.00,Sale
SF,Mr. PONGKIT SUTTAPONG,Reporter,Common Share,30/08/2021,122814184,12.00,Sale
SF,Mr. PONGKIT SUTTAPONG,Spouse / Cohabiting Couple (Mrs.Parichart Suttapong),Common Share,30/08/2021,21300696,12.00,Sale
SF,Mr. SOMNUK POJKASEMSIN,Reporter,Common Share,30/08/2021,4256305,12.00,Sale
SF,Mrs. NANTIYA MONTRIWAT,Reporter,Common Share,03/09/2021,104500,12.00,Sale
SF,Mrs. NANTIYA MONTRIWAT,Reporter,Common Share,08/10/2021,583498,11.97,Sale
SF,Mrs. NANTIYA MONTRIWAT,Spouse / Cohabiting Couple (Mr. VISUT MONTRIWAT),Common Share,08/10/2021,5436000,11.97,Sale
SF,Mrs. SABAITHIP SOONTAROS,Reporter,Common Share,01/09/2021,100000,11.90,Sale
SF,Mrs. SABAITHIP SOONTAROS,Reporter,Common Share,12/10/2021,1335264,11.97,Sale
SF,NOPPORN WITOONCHART,Reporter,Common share,04/04/2018,500000,8.25,Buy
GLOBAL,Miss CHUTIKAN SRISAENGCHAN,Reporter,Common Share,31/07/2020,100100,19.10,Sale
GLOBAL,Miss CHUTIKAN SRISAENGCHAN,Reporter,Common Share,30/10/2020,5000,16.00,Purchase
GLOBAL,Mr. ANAWAT SURIYAWANAKUL,Reporter,Common Share,08/01/2019,1000000,17.00,Purchase
GLOBAL,Mr. ANAWAT SURIYAWANAKUL,Reporter,Common Share,17/01/2019,500000,17.00,Purchase
GLOBAL,Mr. ANAWAT SURIYAWANAKUL,Reporter,Common Share,22/01/2019,500000,18.00,Sale
GLOBAL,Mr. ANAWAT SURIYAWANAKUL,Reporter,Common Share,03/04/2019,125700,16.90,Purchase
GLOBAL,Mr. ANAWAT SURIYAWANAKUL,Reporter,Common Share,10/05/2019,24600,16.90,Purchase
GLOBAL,Mr. ANAWAT SURIYAWANAKUL,Reporter,Common Share,03/07/2019,200300,18.20,Sale
